"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","F_median_long","F_median_medium","F_median_short","Blim","recovery_time","recovery_proportion"
"OM1_HCR-A_Ftrgt-0.05_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds",1,0.05,120000,"A",FALSE,FALSE,11254.2728,8088.2836,10109.3408,0.0356,0.0219,0.0558,0.0428,0.031,0.064,0.054,0.077072373,0.126813691,0.107751251,10983,7832,9928,0,0,231746.9523,177877.7268,215316.7199,0.050014883,0.049280954,0.047378774,119970,1,0.984
"OM1_HCR-A_Ftrgt-0.05_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds",1,0.05,140000,"A",FALSE,FALSE,11250.7629,8003.2132,10077.6074,0.03455,0.0208,0.055,0.0416,0.03,0.063,0.052,0.078018035,0.139193836,0.11466973,10991.5,7833,9936.5,0,0,231893.4966,177895.9439,215381.5039,0.049962381,0.049107276,0.046800618,119970,1,0.986
"OM1_HCR-A_Ftrgt-0.05_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",1,0.05,160000,"A",FALSE,FALSE,11231.2801,7814.997,10018.6808,0.03325,0.0198,0.054,0.0394,0.029,0.061,0.049,0.080510882,0.178752293,0.125713391,11011,7829,9969,0,0,231957.3611,178182.5322,215582.8318,0.049850954,0.048738267,0.045631107,119970,1,0.986
"OM1_HCR-A_Ftrgt-0.08_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",1,0.08,150000,"A",FALSE,FALSE,16401.1933,11966.8126,14737.7422,0.0448,0.0285,0.0654,0.0568,0.037,0.077,0.072,0.085956584,0.158403946,0.131401184,16088,12300,14630,0,0,218804.0852,173848.3903,205084.4963,0.078975912,0.077070419,0.072901217,119970,1,0.981
"OM1_HCR-A_Ftrgt-0.108_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",1,0.108,180000,"A",TRUE,TRUE,20346.8506,14551.8366,17791.00472,0.05105,0.0332,0.074,0.0638,0.045,0.088,0.08,0.325552285,0.264962329,0.298908966,18969.55,14956,16889.85,0,0,208973.1677,171599.0327,197881.2057,0.099865701,0.093263855,0.088091783,119970,1,0.976
"OM1_HCR-A_Ftrgt-0.108_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",1,0.108,190000,"A",FALSE,FALSE,20133.115,13943.1398,18075.12245,0.04925,0.0322,0.0714,0.0612,0.044,0.084,0.077,0.109495246,0.22061491,0.176801081,20412,14235,18719,0,0,209648.4414,172191.4275,198793.1739,0.103122577,0.098284054,0.085000528,119970,1,0.977
"OM1_HCR-A_Ftrgt-0.126_Btrigger-220000_TACconstr-FALSE_BB-FALSE.rds",1,0.126,220000,"A",FALSE,FALSE,21683.3002,14385.365,19455.3434,0.04985,0.0331,0.0716,0.0616,0.045,0.084,0.077,0.134754708531828,0.233193828146632,0.20362814872572,21540.5,14259,18930,0,0,206615.012672451,172097.126369267,196414.241007834,0.112611695638135,0.105325147809032,0.0859396374585021,119970,1,0.977
"OM1_HCR-A_Ftrgt-0.12_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds",1,0.12,140000,"A",TRUE,TRUE,22210.13891,17817.37566,19474.18526,0.0694,0.0477,0.0948,0.0874,0.06,0.116,0.104,0.357424048,0.316806592,0.341793469,21274.55,16948.85,18406.65,0,0,203291.3272,167277.4277,191735.7779,0.114919014,0.106510219,0.111680015,119970,1,0.964
"OM1_HCR-A_Ftrgt-0.12_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",1,0.12,150000,"A",FALSE,FALSE,22032.88482,16864.4498,19951.61337,0.0645,0.0443,0.0874,0.082,0.058,0.11,0.099,0.094465662,0.165575718,0.148567776,21754,17968.5,20004.5,0,0,204030.5255,168356.3848,193075.8955,0.117157314,0.113786421,0.10812318,119970,1,0.967
"OM1_HCR-A_Ftrgt-0.12_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",1,0.12,160000,"A",FALSE,FALSE,21975.95674,16570.6486,19863.50353,0.06245,0.0426,0.0854,0.0792,0.057,0.105,0.097,0.09839758,0.188971313,0.156990603,21808.5,17946,20097.5,0,0,204248.9567,168853.2944,193534.3844,0.116602458,0.112777086,0.10572611,119970,1,0.97
